epoch,train_loss,val_loss
1,9.34845848083496,9.296729034673973
2,9.226511764526368,9.196497770997345
1,9.111184787750243,9.14720829510298
2,9.020849132537842,9.064836673267552
3,8.886148452758789,8.956242810702715
4,8.693428802490235,8.850586235327798
5,8.493537330627442,8.768135092688388
6,8.370010089874267,8.71364906107793
7,8.284786605834961,8.678726090759527
8,8.181507873535157,8.652825964474287
9,8.105610275268555,8.648166837066901
10,8.041488122940063,8.64978012413275
11,7.888221168518067,8.651886056681148
12,7.906886863708496,8.645066992962947
13,8.008984518051147,8.63495509038206
14,7.837048625946045,8.65517765029532
15,7.8507688522338865,8.657197796712156
16,7.83240761756897,8.627151404834185
17,7.661671876907349,8.66871597258771
18,7.816681575775147,8.659204952052383
