epoch,train_loss,val_loss
1,9.318890857696534,9.172676768850108
2,9.061018657684325,9.022496673709057
3,8.798113536834716,8.864119247530327
4,8.583497524261475,8.772216091781367
5,8.411406803131104,8.738071574539434
6,8.200065612792969,8.746072188361746
7,8.170847749710083,8.747979641742393
8,8.033102416992188,8.734897302408687
9,7.961224842071533,8.720163958971618
10,7.918961238861084,8.726501373384819
11,7.867298936843872,8.724831145708679
12,7.836557245254516,8.645807629725972
13,7.705079746246338,8.709667316811984
14,7.714919900894165,8.670212791005119
15,7.5664149761199955,8.646360423134976
16,7.599768447875976,8.712852706283819
17,7.544452810287476,8.72384976793508
18,7.459046030044556,8.64039951777849
19,7.422576665878296,8.653962953755112
20,7.337910985946655,8.683877421988816
